id,nombre,estado,especie,origen,ubicacion,episodios,fecha_creacion
4697,Birdperson,ALIVE,  Mythological CreatureN/A  ,N/A,Citadel of Ricks,"['S03E09', 'S03E02', 'S05E08']",2019-11-28
3271,squanchy,DEAD,  Alien  	  ,Signus 5,Earth (C-137),['S03E05'],
4857,Pickle Rick,unknown,Unkn0wn,,Gazorpazorp,['S02E08'],INVALID_DATE_2026
2078,Squanchy,DEAD,Unkn0wn,,Citadel of Ricks,"S01E07,S01E03,S01E02",NOT_A_DATE
1461,Jerry Smith,Dead,---,Abadango,Citadel of Ricks,"S03E05,S05E06,S03E08",01/02/2021
889,Evil Morty,None,ALIEN  ,Signus 5,Planet Squanch,"['S05E04', 'S04E01']",
633,MEESEEKS,Dead,Unkn0wn,Abadango,Gazorpazorp,S01E09,2020-04-22
1990,squanchy,ALIVE,---,N/A,Planet Squanch,S05E09,06-09-2017
7795,BIRDPERSON,Alive,CRONENBERG,N/A,Planet Squanch,['S01E05'],05-09-2019
6547,BIRDPERSON,NULL,Cronenberg,Signus 5,Citadel of Ricks,S02E07|S03E05|S01E04,
555,RICK SANCHEZ,???,  Unkn0wn    ,Earth (C-137),Gazorpazorp,S05E09|S05E07|S03E06,11-18-2022
7778,Jerry Smith,DEAD, Alien,unknown,Anatomy Park,"['S03E02', 'S05E02', 'S01E02', 'S02E03']",
974,Birdperson,ALIVE,human,Earth (C-137),NULL,"['S03E05', 'S05E08']",NOT_A_DATE
7812,  Summer Smith	  ,UNKNOWN, alien,Signus 5,NULL,S02E03|S01E03|S02E06,2024-10-04T12:00:00.000000Z
6373,Beth Smith,Dead,---,Earth (Replacement Dimension),Anatomy Park,S04E07|S04E09|S01E07|S02E01,2024-08-15
6581,Jerry Smith,,  Alien  Ã¡  ,Signus 5,Earth (C-137),"S03E07,S04E01,S02E03",23/01/2018
3536,  Beth Smith	  ,dead,  Robot    ,Signus 5,Anatomy Park,S03E02|S04E02,NOT_A_DATE
5592,Rick Sanchez,dead, ALIEN,Earth (Replacement Dimension),---,"S05E03,S04E05,S05E01,S02E09",2018-04-11T12:00:00.000000Z
5289,Evil Morty,N/A,HUMAN,Citadel of Ricks &amp; Mortys,---,S01E02|S01E03,
4026,  Birdpersonâ€  ,Alive,human,Citadel of Ricks &amp; Mortys,Earth (C-137),['S05E02'],2021-08-25T12:00:00.000000Z
3960,Morty Smith,Dead, alien,N/A,Gazorpazorp,"S03E07,S02E05",INVALID_DATE_2026
765,Squanchy,ALIVE,HUMAN,Abadango,---,"S05E07,S05E05",INVALID_DATE_2026
2131,  Rick SanchezÃ±  ,N/A,human,Earth (Replacement Dimension),NULL,"['S02E02', 'S01E04']",11-18-2019
150,  Rick Sanchezâ€  ,NULL,human,,Planet Squanch,"S01E06,S05E04,S03E02,S05E02",INVALID_DATE_2026
3475,  Summer Smith!!  ,alive,Mythological Creature,Earth (C-137),NULL,"['S02E05', 'S02E07']",2024-09-13
6672,Summer Smith,???,Mythological Creature,,Gazorpazorp,"['S05E01', 'S04E05', 'S04E05', 'S04E06']",2019-07-16
6476,BIRDPERSON,???,Alien  ,unknown,Citadel of Ricks,S01E03|S04E05|S02E04|S03E09,2019-03-11T12:00:00.000000Z
5093,JERRY SMITH,UNKNOWN,  CronenbergN/A  ,Signus 5,NULL,"S02E07,S02E01",
1878,Meeseeks,Alive,Cronenberg,Citadel of Ricks &amp; Mortys,Gazorpazorp,S05E06|S04E07,05/07/2018
651,rick sanchez,NULL,  Human    ,Citadel of Ricks &amp; Mortys,Planet Squanch,"['S04E09', 'S02E03']",INVALID_DATE_2026
7136,EVIL MORTY,DEAD,   Alien    ,Citadel of Ricks &amp; Mortys,Gazorpazorp,"['S01E05', 'S03E04']",2019-04-28T12:00:00.000000Z
6101,BETH SMITH,NULL,Unkn0wn,N/A,Anatomy Park,"S03E02,S01E09",12/07/2017
1512,Birdperson,NULL, Alien,Earth (C-137),NULL,"S05E03,S04E04,S01E07",2022-01-05
896,Jerry Smith,None,Human,Abadango,---,['S03E08'],INVALID_DATE_2026
5473,morty smith,???,unkn0wn,Citadel of Ricks &amp; Mortys,Citadel of Ricks,S01E04|S04E09|S02E02,NOT_A_DATE
4592,Beth Smith,Alive,Cronenberg,Signus 5,---,"S05E05,S04E07,S03E04,S04E09",INVALID_DATE_2026
7563,Summer Smith,UNKNOWN,cronenberg,unknown,---,S02E07|S05E01|S01E09|S05E09,
2166,BIRDPERSON,DEAD,Mythological Creature,Earth (C-137),Earth (C-137),S02E02|S05E09|S03E05|S02E07,NOT_A_DATE
1494,MEESEEKS,None,Robot,Citadel of Ricks &amp; Mortys,Citadel of Ricks,S04E06|S02E09,NOT_A_DATE
7103,birdperson,alive,Unkn0wn,Abadango,---,S03E06,
433,evil morty,ALIVE,Cronenberg,Citadel of Ricks &amp; Mortys,Anatomy Park,"S03E07,S03E09",INVALID_DATE_2026
1566,Jerry Smith,alive,Human,Signus 5,Anatomy Park,S05E03|S05E05|S02E07|S03E03,23/05/2019
2241,Birdperson,None,human,Abadango,NULL,"['S01E03', 'S01E06']",
1832,Rick Sanchez,UNKNOWN,MYTHOLOGICAL CREATURE,Signus 5,NULL,"S02E03,S01E09,S05E05,S03E05",18/10/2020
7640,Squanchy,unknown,unkn0wn,,Citadel of Ricks,S04E05,03-16-2021
6668,Evil Morty,NULL,Unkn0wn,Abadango,NULL,S04E07|S02E04|S04E03|S01E02,
997,Morty Smith,unknown,MYTHOLOGICAL CREATURE,Citadel of Ricks &amp; Mortys,---,S01E03|S01E07,2018-09-02
7708,BETH SMITH,Alive,---,N/A,Gazorpazorp,S05E07,
3400,RICK SANCHEZ,UNKNOWN,human,Abadango,Anatomy Park,"['S05E04', 'S02E04', 'S04E03', 'S03E08']",01-24-2024
6491,  Beth SmithÃ±  ,Alive,unkn0wn,Citadel of Ricks &amp; Mortys,Planet Squanch,"['S01E01', 'S05E07', 'S02E08', 'S01E09']",2021-01-10T12:00:00.000000Z
7884,Evil Morty,UNKNOWN,mythological creature,Citadel of Ricks &amp; Mortys,Gazorpazorp,"['S01E02', 'S04E02', 'S02E04', 'S01E04']",NOT_A_DATE
2608,Meeseeks,unknown,  CronenbergÃ±  ,unknown,---,"['S04E01', 'S02E07', 'S03E03', 'S02E07']",06-08-2023
5621,evil morty,NULL,CRONENBERG,Earth (C-137),NULL,S03E08|S02E07|S03E02,INVALID_DATE_2026
3870,EVIL MORTY,NULL,cronenberg,Signus 5,---,"S02E03,S04E01,S01E02,S04E06",2018-04-07T12:00:00.000000Z
3944,Rick Sanchez,ALIVE,Cronenberg,Citadel of Ricks &amp; Mortys,Anatomy Park,"['S03E01', 'S01E05', 'S01E06']",18/07/2018
7469,Squanchy,???,UNKN0WN,Earth (Replacement Dimension),NULL,"['S03E09', 'S04E06', 'S04E08', 'S02E03']",28/02/2019
4619,Birdperson,dead,  Mythological Creature    ,Citadel of Ricks &amp; Mortys,Gazorpazorp,S04E03|S02E04|S02E02,18/01/2020
513,Evil Morty,N/A,---,Earth (C-137),Gazorpazorp,S01E08,INVALID_DATE_2026
4955,Beth Smith,NULL, Alien,Earth (Replacement Dimension),Earth (C-137),S04E09,01-24-2024
6387,  Morty Smith    ,Alive,Cronenberg,,Gazorpazorp,"['S03E05', 'S04E04']",2019-07-15T12:00:00.000000Z
5889,jerry smith,None,Unkn0wn,,Citadel of Ricks,"S04E08,S02E03",03/05/2024
1435,Beth Smith,N/A,---,Signus 5,Citadel of Ricks,S02E07|S01E01,2021-05-10
6026,Summer Smith,N/A,human,Earth (C-137),---,S05E04|S05E06|S02E06,08-13-2018
645,  Pickle RickÃ¡  ,Alive,Cronenberg,unknown,---,"['S05E01', 'S04E06']",
7423,Meeseeks,,Human,Earth (Replacement Dimension),Citadel of Ricks,"['S02E02', 'S04E07']",12-28-2018
7109,Rick Sanchez,unknown, Alien,Earth (C-137),Anatomy Park,S02E08|S04E04|S05E01,
7184,Beth Smith,unknown,   Alien!!  ,unknown,Planet Squanch,"['S04E01', 'S03E05', 'S04E08']",
4037,squanchy,DEAD,  Alien  !!  ,Abadango,Earth (C-137),"S05E09,S01E04",12-11-2020
5157,Birdperson,Alive,  human!!  ,Earth (C-137),Anatomy Park,S05E09|S05E05,03-05-2017
7744,Meeseeks,unknown, Alien,Earth (C-137),Earth (C-137),S04E09|S02E03,2018-01-08T12:00:00.000000Z
4869,Evil Morty,ALIVE,  Unkn0wnN/A  ,Signus 5,Anatomy Park,"S03E09,S01E06",07-22-2023
814,Beth Smith,NULL,Mythological Creature,,Planet Squanch,"S04E03,S04E02",2021-03-27T12:00:00.000000Z
4444,Meeseeks,Dead,Alien  ,Earth (Replacement Dimension),Planet Squanch,S05E03|S04E02|S02E06|S01E06,
3242,Rick Sanchez,,Cronenberg,Abadango,Planet Squanch,"['S01E09', 'S03E07', 'S01E06']",2023-10-26T12:00:00.000000Z
4819,Morty Smith,alive,  humanÃ±  ,Signus 5,Citadel of Ricks,"S03E08,S02E04,S05E06",2020-10-26
3058,Beth Smith,UNKNOWN,Human,Abadango,---,['S04E01'],08/09/2022
487,rick sanchez,DEAD,Robot,Earth (C-137),---,S05E01|S02E01|S03E09,2019-08-02
1041,evil morty,Alive,human,N/A,---,"S05E08,S04E06,S01E05,S05E05",INVALID_DATE_2026
7231,Summer Smith,N/A,---,Earth (Replacement Dimension),Citadel of Ricks,S02E07,INVALID_DATE_2026
2077,Meeseeks,NULL,---,Abadango,Anatomy Park,"S01E02,S02E04,S01E04",INVALID_DATE_2026
3621,Meeseeks,UNKNOWN,  Mythological Creatureâ€  ,Signus 5,NULL,['S02E07'],2018-06-20
1180,Jerry Smith,ALIVE,UNKN0WN,Abadango,Planet Squanch,"S03E02,S01E09,S02E09",09/02/2020
1824,evil morty,None,human,Abadango,NULL,"S05E09,S01E05",INVALID_DATE_2026
7844,Summer Smith,ALIVE,Human,unknown,Anatomy Park,"S05E07,S02E03",07-01-2017
251,Squanchy,None,Robot,Abadango,Gazorpazorp,"S01E07,S01E04,S02E06",NOT_A_DATE
3708,jerry smith,Alive,Human,Citadel of Ricks &amp; Mortys,Planet Squanch,"['S03E02', 'S04E01']",02-24-2023
3390,Beth Smith,alive,Human,Earth (C-137),Anatomy Park,S05E08,NOT_A_DATE
2664,Morty Smith,ALIVE,mythological creature,Abadango,Anatomy Park,"['S01E06', 'S05E08', 'S05E05']",
7911,Rick Sanchez,dead,ROBOT,,NULL,"S02E03,S01E02",04-17-2017
6845,beth smith,N/A,Robot,Citadel of Ricks &amp; Mortys,---,"['S05E04', 'S03E04', 'S01E06', 'S05E05']",04-18-2021
7464,Pickle Rick,None,Mythological Creature,Signus 5,Earth (C-137),"['S01E04', 'S01E09', 'S03E02', 'S01E03']",2020-09-07T12:00:00.000000Z
1247,meeseeks,DEAD,alien  ,N/A,Anatomy Park,"S02E03,S03E06,S04E05,S03E07",
4240,birdperson,N/A,Mythological Creature,,Gazorpazorp,S03E06|S03E04|S04E05,2018-01-28T12:00:00.000000Z
5040,Pickle Rick,DEAD,Robot,,Anatomy Park,['S05E06'],15/12/2024
5205,Evil Morty,,Mythological Creature,Earth (C-137),Earth (C-137),"S05E05,S05E01,S03E05,S05E06",NOT_A_DATE
7334,  Squanchyâ€  ,alive,Alien  ,Signus 5,Anatomy Park,"['S04E08', 'S04E02', 'S05E07']",2023-12-25
2188,rick sanchez,ALIVE,Human,Citadel of Ricks &amp; Mortys,---,S03E05,04-13-2019
2021,MORTY SMITH,dead,HUMAN,,NULL,"S04E07,S01E06,S02E09",NOT_A_DATE
2175,rick sanchez,unknown,Unkn0wn,,---,"['S02E06', 'S02E08', 'S02E02']",
2348,Summer Smith,unknown,Human,unknown,Gazorpazorp,"S04E02,S01E01,S04E06",INVALID_DATE_2026
3992,Summer Smith,???,Unkn0wn,unknown,NULL,"S05E01,S01E02,S02E07",NOT_A_DATE
4739,birdperson,Alive,---,unknown,NULL,"['S04E05', 'S05E05']",2024-03-05
5096,  Evil Morty!!  ,dead,   Alien    ,,Citadel of Ricks,S02E05,12/09/2021
140,BIRDPERSON,???,human,,Gazorpazorp,S01E03,2024-10-04T12:00:00.000000Z
5295,Summer Smith,N/A,  Cronenberg	  ,Signus 5,NULL,"['S01E01', 'S01E09', 'S03E03']",INVALID_DATE_2026
3116,jerry smith,Dead,Unkn0wn,Abadango,Planet Squanch,"['S01E07', 'S01E08', 'S04E01', 'S05E07']",08-22-2018
6378,  SquanchyÃ¡  ,DEAD, Alien,Earth (Replacement Dimension),Planet Squanch,"S01E06,S03E06",2020-02-09T12:00:00.000000Z
3216,meeseeks,dead, alien,Signus 5,---,"['S02E08', 'S03E06', 'S05E02', 'S04E03']",2024-08-16
2985,JERRY SMITH,Dead,---,Earth (Replacement Dimension),---,S02E08,2017-03-24T12:00:00.000000Z
929,Evil Morty,unknown,   Alien    ,,---,S01E01|S03E03|S05E04,2019-12-22T12:00:00.000000Z
2014,summer smith,Dead,human,Earth (Replacement Dimension),Anatomy Park,S02E04|S03E05|S03E01,NOT_A_DATE
1816,  Jerry SmithÃ±  ,Alive,human,Earth (Replacement Dimension),NULL,S03E09,08-15-2022
5776,Beth Smith,Dead,mythological creature,Signus 5,Planet Squanch,S03E02|S03E09|S05E02,04-18-2022
3122,Pickle Rick,DEAD,Human,Citadel of Ricks &amp; Mortys,Citadel of Ricks,"S05E07,S01E01,S02E01,S01E08",
2591,Birdperson,ALIVE,Robot,N/A,Gazorpazorp,"S05E03,S02E09,S04E07,S05E01",
5042,Beth Smith,Alive,human,Earth (Replacement Dimension),Planet Squanch,"S03E06,S01E03,S03E06",
2003,Summer Smith,ALIVE,---,Earth (C-137),Anatomy Park,S02E02,15/07/2022
595,MEESEEKS,dead,unkn0wn,Abadango,Planet Squanch,"['S02E04', 'S02E07', 'S03E03', 'S05E03']",2023-08-04
7231,Summer Smith,unknown,---,Earth (Replacement Dimension),NULL,S02E07,INVALID_DATE_2026
1767,  Evil Morty    ,None,UNKN0WN,Signus 5,Gazorpazorp,S04E08,10-27-2017
566,  Meeseeks    ,dead,  HumanÃ¡  ,N/A,---,"S03E05,S04E07,S05E09,S03E03",2021-06-06
1293,Morty Smith,alive,---,Earth (Replacement Dimension),Anatomy Park,"['S01E02', 'S04E03']",2019-09-11
5080,birdperson,UNKNOWN,  Mythological Creature#VALUE!  ,Signus 5,Anatomy Park,S02E02,11/10/2022
6697,Summer Smith,,Unkn0wn,unknown,Gazorpazorp,"['S03E07', 'S02E02', 'S03E02', 'S04E07']",22/06/2024
4876,rick sanchez,N/A,Mythological Creature,Abadango,Anatomy Park,"S02E05,S05E02",INVALID_DATE_2026
4540,MEESEEKS,UNKNOWN,human,Abadango,---,"S03E09,S05E08,S02E09,S03E05",2018-03-20T12:00:00.000000Z
1298,Evil Morty,alive,Human,Earth (Replacement Dimension),Anatomy Park,S02E05|S01E01,INVALID_DATE_2026
1954,Rick Sanchez,ALIVE,ALIEN  ,Earth (C-137),Planet Squanch,"['S05E08', 'S02E04']",11/04/2022
826,  Beth Smith#VALUE!  ,dead,  ---&#39;  ,unknown,---,S01E03|S03E02|S02E02,NOT_A_DATE
7479,JERRY SMITH,alive,ALIEN  ,,Planet Squanch,['S01E02'],2021-10-06T12:00:00.000000Z
4400,Summer Smith,???,Alien  ,unknown,Citadel of Ricks,S01E02|S02E09|S04E06,28/06/2022
4437,Jerry Smith,Alive,Human,Signus 5,Gazorpazorp,S01E05,2022-06-19
1117,morty smith,alive,Mythological Creature,Abadango,---,S03E08,INVALID_DATE_2026
4612,Pickle Rick,Alive,Human,Signus 5,Citadel of Ricks,"S03E01,S03E05,S01E07,S03E04",2019-12-25
5193,  Squanchy!!  ,,  Mythological Creature    ,Earth (Replacement Dimension),Anatomy Park,S04E05|S05E06|S04E05,NOT_A_DATE
5675,Morty Smith,None,Human,Signus 5,Planet Squanch,"S03E06,S03E08",NOT_A_DATE
427,Rick Sanchez,None,ROBOT,Signus 5,NULL,"['S02E08', 'S02E04', 'S04E03']",
5695,Meeseeks,,   AlienÃ¡  ,unknown,NULL,"['S03E08', 'S05E07']",
6966,Summer Smith,???,Robot,Earth (C-137),NULL,S01E01,2021-12-21T12:00:00.000000Z
3856,Evil Morty,NULL,---,Abadango,Earth (C-137),S01E09,2020-02-12T12:00:00.000000Z
340,Birdperson,alive,robot,unknown,---,['S03E09'],04-16-2018
6335,Evil Morty,Alive,  Cronenbergâ€  ,Abadango,Anatomy Park,"['S02E08', 'S02E02', 'S02E04']",
5883,SQUANCHY,ALIVE,human,Abadango,---,S02E07,NOT_A_DATE
7650,Morty Smith,DEAD,---,Signus 5,Anatomy Park,S01E06,14/04/2020
105,morty smith,,CRONENBERG,Abadango,Citadel of Ricks,S02E09|S03E02,05-14-2023
1126,MORTY SMITH,dead,human,Earth (Replacement Dimension),---,"['S03E02', 'S03E08', 'S01E07']",2024-05-05
7305,JERRY SMITH,None,---,unknown,NULL,"['S05E06', 'S04E02']",
1129,Meeseeks,NULL,Alien  ,,---,S01E03,2024-10-21T12:00:00.000000Z
7190,Morty Smith,???,Cronenberg,,Citadel of Ricks,['S05E01'],03-07-2020
1241,  Morty SmithN/A  ,???,Human,N/A,NULL,"['S03E07', 'S05E09']",17/10/2023
3544,Summer Smith,???,  Mythological Creature#VALUE!  ,Citadel of Ricks &amp; Mortys,Planet Squanch,"S01E06,S02E01,S01E01",NOT_A_DATE
2006,evil morty,alive,  Alien  #VALUE!  ,,---,S01E01|S02E07,
7416,morty smith,UNKNOWN, ALIEN,Earth (C-137),Citadel of Ricks,"['S04E09', 'S02E04', 'S04E09']",
6084,beth smith,N/A,---,Signus 5,Anatomy Park,"S05E06,S04E01",01/04/2023
6887,Meeseeks,None,---,Earth (Replacement Dimension),Anatomy Park,S05E07,
5150,pickle rick,N/A,Robot,N/A,Anatomy Park,S03E07,06/12/2023
2543,Morty Smith,Alive, Alien,Abadango,NULL,"['S01E03', 'S03E09', 'S04E07']",2020-01-20
977,Summer Smith,???,Human,unknown,Citadel of Ricks,"['S05E04', 'S02E01', 'S03E09']",
285,Evil Morty,alive,---,N/A,Gazorpazorp,"S01E06,S05E07,S01E01,S04E02",2022-01-19
3559,SUMMER SMITH,UNKNOWN,Alien  ,Citadel of Ricks &amp; Mortys,Citadel of Ricks,"S03E07,S03E08,S02E04",02-18-2024
940,Rick Sanchez,Dead,Cronenberg,unknown,Earth (C-137),"S01E05,S02E01",26/12/2017
6036,  Meeseeks    ,DEAD,MYTHOLOGICAL CREATURE,Signus 5,Anatomy Park,S02E04|S05E08|S01E03,NOT_A_DATE
2595,Evil Morty,Dead,Robot,unknown,---,"['S04E08', 'S04E04']",INVALID_DATE_2026
289,Summer Smith,NULL,Robot,Abadango,Planet Squanch,S02E05,
3979,Morty Smith,unknown,---,unknown,Citadel of Ricks,"S03E01,S04E07,S04E02",05/09/2019
3874,  Pickle Rick	  ,dead,  Alien  â€  ,Abadango,Gazorpazorp,"S02E02,S05E09,S05E04,S01E06",
7208,Pickle Rick,Dead,---,Abadango,Planet Squanch,"S05E02,S04E04",2019-04-23T12:00:00.000000Z
3458,Rick Sanchez,UNKNOWN,  Mythological CreatureÃ¡  ,Citadel of Ricks &amp; Mortys,Gazorpazorp,"S02E04,S05E09",
7332,Squanchy,N/A,Cronenberg,Earth (Replacement Dimension),Gazorpazorp,"['S05E05', 'S01E04']",03-08-2022
1831,MEESEEKS,alive,HUMAN,Earth (Replacement Dimension),Anatomy Park,"['S04E07', 'S03E09', 'S05E05', 'S04E07']",2023-06-15
5598,Beth Smith,Dead,Mythological Creature,unknown,NULL,"['S05E03', 'S01E05', 'S02E02', 'S03E02']",06-21-2018
763,Meeseeks,dead,Alien  ,Citadel of Ricks &amp; Mortys,Anatomy Park,"['S04E08', 'S02E06', 'S02E03']",2024-09-22T12:00:00.000000Z
6221,Summer Smith,dead,human,N/A,---,"S04E09,S03E06",INVALID_DATE_2026
448,morty smith,None,Unkn0wn,Signus 5,Earth (C-137),"S05E09,S02E07,S03E02",INVALID_DATE_2026
5064,Rick Sanchez,Alive,HUMAN,Earth (Replacement Dimension),---,S04E02,28/07/2019
7096,Beth Smith,???,  ---Ã±  ,Abadango,Gazorpazorp,S04E08,10-07-2023
6556,Summer Smith,alive,---,unknown,Planet Squanch,S01E09|S03E07,NOT_A_DATE
2433,Morty Smith,???,   Alien!!  ,Abadango,Anatomy Park,"S03E06,S04E07,S01E08",2018-07-21T12:00:00.000000Z
1220,Morty Smith,dead,Cronenberg,N/A,Citadel of Ricks,S05E08,INVALID_DATE_2026
7945,morty smith,alive,---,,NULL,S05E07|S02E07|S02E06,NOT_A_DATE
1470,Meeseeks,None, Alien,Abadango,Earth (C-137),"['S01E06', 'S04E01', 'S01E08', 'S02E05']",INVALID_DATE_2026
7689,birdperson,Dead,Mythological Creature,Earth (Replacement Dimension),---,S02E06|S05E09|S04E01|S02E08,09-27-2019
5653,Pickle Rick,alive,ROBOT,N/A,Anatomy Park,"['S05E06', 'S04E02']",NOT_A_DATE
945,jerry smith,,  ---    ,,Earth (C-137),S04E01|S03E04,10-26-2019
2736,Jerry Smith,ALIVE,Mythological Creature,unknown,Earth (C-137),"S01E06,S05E07,S05E01,S04E06",
1307,summer smith,Alive,Cronenberg,Earth (Replacement Dimension),Citadel of Ricks,['S03E03'],NOT_A_DATE
4466,PICKLE RICK,???,  Cronenberg&#39;  ,Earth (Replacement Dimension),Planet Squanch,S05E05,02-08-2019
7702,  Pickle RickN/A  ,N/A,  Mythological CreatureN/A  ,Signus 5,Gazorpazorp,S03E05|S05E05,2022-01-15T12:00:00.000000Z
474,Morty Smith,UNKNOWN,  CronenbergN/A  ,N/A,---,"S04E05,S02E01,S05E07,S02E03",08/12/2024
3248,Summer Smith,???,---,Earth (Replacement Dimension),NULL,"S01E07,S04E06,S01E01",2024-07-28T12:00:00.000000Z
1296,  Morty SmithÃ¡  ,,Robot,N/A,Planet Squanch,S04E02,
3893,Birdperson,alive,human,unknown,NULL,S05E05|S03E09|S03E08|S03E03,2019-04-20
7178,Morty Smith,NULL,Unkn0wn,,Planet Squanch,"['S03E08', 'S01E02', 'S04E05', 'S02E06']",2021-11-14
6634,Morty Smith,???,Mythological Creature,Earth (Replacement Dimension),Gazorpazorp,S05E03,
5270,Rick Sanchez,N/A,Robot,Signus 5,NULL,S01E05|S05E03|S01E03|S03E06,
4496,Summer Smith,???,Alien  ,Signus 5,Planet Squanch,S04E07,
